date,title,link,location
17.04.2021 13:00 Uhr,Brandsätze gegen Fassade geworfen - Gesuchter festgenommen,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1008611.php,Ereignisort:Tempelhof-Schöneberg
13.04.2021 10:13 Uhr,Jugendliche nach nächtlichem Überfall im Polizeigewahrsam,https://www.berlin.de/polizei/polizeimeldungen/2021/pressemitteilung.1074337.php,Ereignisort:Steglitz-Zehlendorf
09.02.2021 15:12 Uhr,Betrüger und Trickdiebe als falsche Versicherungsvertreter unterwegs - Tatverdächtiger ermittelt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1021615.php,Ereignisort:berlinweit
04.02.2021 11:00 Uhr,Gefährliche Körperverletzung,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.960149.php,Ereignisort:Mitte
12.01.2021 13:28 Uhr,Verkehrsunfall mit schwerverletztem E-Bike-Fahrer,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1039108.php,Ereignisort:Mitte
31.12.2020 14:13 Uhr,Brandstiftung an Verwaltungsgebäude – Staatsschutz ermittelt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035501.php,Ereignisort:Lichtenberg
31.12.2020 14:06 Uhr,Auf einen Einsatzwagen aufgefahren und schwer verletzt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035500.php,Ereignisort:Charlottenburg-Wilmersdorf
31.12.2020 13:31 Uhr,Nach Bedrohung mit Schusswaffe - Festnahme durch Spezialeinsatzkräfte des Landeskriminalamtes,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035499.php,Ereignisort:Neukölln
31.12.2020 11:33 Uhr,Polizei Berlin zieht Bilanz zur Versammlungslage am 30. Dezember 2020,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035498.php,Ereignisort:Tempelhof-Schöneberg
31.12.2020 11:26 Uhr,Mit Messer verletzt – Täter flüchtig,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035497.php,Ereignisort:Marzahn-Hellersdorf
31.12.2020 11:05 Uhr,Verdacht der Brandstiftung,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035495.php,Ereignisort:Neukölln
31.12.2020 11:00 Uhr,Beim Überqueren der Fahrbahn vom Auto erfasst,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035494.php,Ereignisort:Steglitz-Zehlendorf
31.12.2020 10:58 Uhr,Seniorin von Auto erfasst,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035493.php,Ereignisort:Treptow-Köpenick
30.12.2020 15:51 Uhr,Raub in Zeitungsladen scheitert,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035455.php,Ereignisort:Neukölln
30.12.2020 13:10 Uhr,E-Scooter in Flammen,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035405.php,Ereignisort:Mitte
